,Tweet,cleanedTweets
28,"Discussed the #GrainfromUkraine initiative with @vonderleyen. Thanked for the huge 🇪🇺 financial assistance, for work started on the 9th sanctions package. Noted that the price cap for Russian oil should be effective. Cooperation on ensuring 🇺🇦 energy stability was also discussed.","Discussed the GrainfromUkraine initiative with . Thanked for the huge 🇪🇺 financial assistance, for work started on the 9th sanctions package. Noted that the price cap for Russian oil should be effective. Cooperation on ensuring 🇺🇦 energy stability was also discussed."
29,"I praise 🇮🇪, 🇲🇩 &amp; 🇷🇴 decision on honoring the Holodomor 1932-1933 victims’ memory! Your recognition of the Holodomor as a genocide of 🇺🇦 people &amp; a crime against humanity is more important than ever today. Together we restore historical justice &amp; gain the free future of Europe!","I praise 🇮🇪, 🇲🇩 &amp; 🇷🇴 decision on honoring the Holodomor 1932-1933 victims’ memory! Your recognition of the Holodomor as a genocide of 🇺🇦 people &amp; a crime against humanity is more important than ever today. Together we restore historical justice &amp; gain the free future of Europe!"
30,I had a phone call with President of Israel @Isaac_Herzog. I hope for deepening 🇺🇦-🇮🇱 cooperation after the formation of the government. I also briefed about the needs of our energy industry and invited to join the #GrainfromUkraine initiative.,I had a phone call with President of Israel . I hope for deepening 🇺🇦-🇮🇱 cooperation after the formation of the government. I also briefed about the needs of our energy industry and invited to join the GrainfromUkraine initiative.
31,Ukraine will not be scared by cowardly inhumane terrorist attacks of Russian war criminals. Thank you @POTUS and 🇺🇸 people for standing with Ukraine and responding with a new PDA package which would allow us to save lives and continue our fight for Ukraine! Together we win!,Ukraine will not be scared by cowardly inhumane terrorist attacks of Russian war criminals. Thank you  and 🇺🇸 people for standing with Ukraine and responding with a new PDA package which would allow us to save lives and continue our fight for Ukraine! Together we win!
32,"I have instructed our Ambassador to the UN to request an urgent meeting of UNSC following today’s Russian strikes. Murder of civilians, ruining of civilian infrastructure are acts of terror. Ukraine keeps demanding a resolute response of international community to these crimes.","I have instructed our Ambassador to the UN to request an urgent meeting of UNSC following today’s Russian strikes. Murder of civilians, ruining of civilian infrastructure are acts of terror. Ukraine keeps demanding a resolute response of international community to these crimes."
33,I welcome @Europarl_EN decision to recognize Russia as a state sponsor of terrorism and as a state which uses means of terrorism. Russia must be isolated at all levels and held accountable in order to end its long-standing policy of terrorism in Ukraine and across the globe.,I welcome  decision to recognize Russia as a state sponsor of terrorism and as a state which uses means of terrorism. Russia must be isolated at all levels and held accountable in order to end its long-standing policy of terrorism in Ukraine and across the globe.
34,Congratulated President of Kazakhstan @TokayevKZ on a convincing victory in snap election. Expressed willingness to further develop bilateral 🇺🇦-🇰🇿 relations. Thanked for the humanitarian aid from 🇰🇿.,Congratulated President of Kazakhstan  on a convincing victory in snap election. Expressed willingness to further develop bilateral 🇺🇦-🇰🇿 relations. Thanked for the humanitarian aid from 🇰🇿.
35,🇺🇦 received another tranche of #EU macro-fin aid worth €2.5 billion. A strong contribution to the stability of 🇺🇦 on the eve of a difficult winter. Grateful to the EU &amp; @vonderleyen for solidarity and support. Waiting for the approval of €18 billion macro-fin program for 2023.,🇺🇦 received another tranche of EU macro-fin aid worth €2.5 billion. A strong contribution to the stability of 🇺🇦 on the eve of a difficult winter. Grateful to the EU &amp;  for solidarity and support. Waiting for the approval of €18 billion macro-fin program for 2023.
36,"Had a call with @EmmanuelMacron. Informed about the situation on the battlefield and at 🇺🇦 nuclear plants. Stressed the need of demilitarization of #ZNPP. We also discussed cooperation on ensuring Ukraine's energy stability, in particular, protecting the system from air attacks.","Had a call with . Informed about the situation on the battlefield and at 🇺🇦 nuclear plants. Stressed the need of demilitarization of ZNPP. We also discussed cooperation on ensuring Ukraine's energy stability, in particular, protecting the system from air attacks."
37,"Thank you, @RishiSunak. With friends like you by our side, we are confident in our victory. Both of our nations know what it means to stand up for freedom 🇺🇦🇬🇧","Thank you, . With friends like you by our side, we are confident in our victory. Both of our nations know what it means to stand up for freedom 🇺🇦🇬🇧"
38,In a phone call with President @RTErdogan we praised the extension of the grain deal. I thanked for supporting our #GrainfromUkraine initiative and assured that Ukraine will remain a guarantor of food stability. Security and energy cooperation were also discussed.,In a phone call with President  we praised the extension of the grain deal. I thanked for supporting our GrainfromUkraine initiative and assured that Ukraine will remain a guarantor of food stability. Security and energy cooperation were also discussed.
39,"Ukraine'll remain the guarantor of 🌎 food security. Thanked @antonioguterres for leadership in extending the #BlackSeaGrainInitiative, supporting the #GrainFromUkraine humanitarian initiative and for the participation in the 🇺🇦 Coordination Council for the Protection of Children","Ukraine'll remain the guarantor of 🌎 food security. Thanked  for leadership in extending the BlackSeaGrainInitiative, supporting the GrainFromUkraine humanitarian initiative and for the participation in the 🇺🇦 Coordination Council for the Protection of Children"
40,"Important court decision in The Hague. First sentences for the perpetrators of #MH17 downing. Holding to account masterminds is crucial too, as the feeling of impunity leads to new crimes. We must dispel this illusion. Punishment for all RF's atrocities then &amp; now is inevitable.","Important court decision in The Hague. First sentences for the perpetrators of MH17 downing. Holding to account masterminds is crucial too, as the feeling of impunity leads to new crimes. We must dispel this illusion. Punishment for all RF's atrocities then &amp; now is inevitable."
41,Grain Deal will be prolonged for 120 days. 🇺🇦 together with @antonioguterres and @RTErdogan made key decision in the global fight against the food crisis. Waiting for official announcement from partners - 🇹🇷 and 🇺🇳.,Grain Deal will be prolonged for 120 days. 🇺🇦 together with  and  made key decision in the global fight against the food crisis. Waiting for official announcement from partners - 🇹🇷 and 🇺🇳.
42,"Had a phone talk with @RishiSunak, @JustinTrudeau today. Briefed on the new wave of Russian missile terror. Called for increased assistance to 🇺🇦 in creating a missile shield. I thanked 🇬🇧 &amp; 🇨🇦 for the strong support of 🇺🇦 in countering the aggression of the Russian Federation!","Had a phone talk with ,  today. Briefed on the new wave of Russian missile terror. Called for increased assistance to 🇺🇦 in creating a missile shield. I thanked 🇬🇧 &amp; 🇨🇦 for the strong support of 🇺🇦 in countering the aggression of the Russian Federation!"
43,"I welcome the approval of the #UNGA draft resolution on human rights in the Russian-occupied AR of #Crimea. Grateful to those who changed their minds. This war started with Crimea, and it will end with Crimea. Our peninsula will be liberated, like all 🇺🇦 lands!","I welcome the approval of the UNGA draft resolution on human rights in the Russian-occupied AR of Crimea. Grateful to those who changed their minds. This war started with Crimea, and it will end with Crimea. Our peninsula will be liberated, like all 🇺🇦 lands!"
44,"Had a call with 🇵🇱 President @AndrzejDuda. Expressed condolences over the death of Polish citizens from Russian missile terror. We exchanged available information and are clarifying all the facts. 🇺🇦, 🇵🇱, all of Europe and the world must be fully protected from terrorist Russia.","Had a call with 🇵🇱 President . Expressed condolences over the death of Polish citizens from Russian missile terror. We exchanged available information and are clarifying all the facts. 🇺🇦, 🇵🇱, all of Europe and the world must be fully protected from terrorist Russia."
45,Heard reports on the restoration of 🇺🇦 electricity supply. About 10 million Ukrainians were disconnected after the terrorist attack. Supply to 8 million consumers has already been restored. Power engineers and repairmen will work all night. Thanks to everyone!,Heard reports on the restoration of 🇺🇦 electricity supply. About 10 million Ukrainians were disconnected after the terrorist attack. Supply to 8 million consumers has already been restored. Power engineers and repairmen will work all night. Thanks to everyone!
46,Informed Ulf Kristersson @SwedishPM of the new wave of RF's missile terror. This act of genocide of Ukrainians in response to my peace plan is a cynical slap in the face of G19 @g20org &amp; the world. Thanked for the new package of 🇸🇪 defense aid to 🇺🇦. We enhance 🇺🇦🇸🇪 cooperation,Informed Ulf Kristersson  of the new wave of RF's missile terror. This act of genocide of Ukrainians in response to my peace plan is a cynical slap in the face of G19  &amp; the world. Thanked for the new package of 🇸🇪 defense aid to 🇺🇦. We enhance 🇺🇦🇸🇪 cooperation
47,From the liberation victory in Kherson to the diplomatic victory in New York - the 🇺🇳 General Assembly has just given the green light to the creation of a compensation mechanism for Russian crimes in Ukraine. The aggressor will pay for what he did!,From the liberation victory in Kherson to the diplomatic victory in New York - the 🇺🇳 General Assembly has just given the green light to the creation of a compensation mechanism for Russian crimes in Ukraine. The aggressor will pay for what he did!
48,Thank you @JustinTrudeau &amp; 🇨🇦 people for CAD500 million in defense aid to 🇺🇦. This again proves that 🇺🇦 &amp; 🇨🇦 are true allies who share common values &amp; have the same goals. We’ll always remember the help provided by the fraternal 🇨🇦 in the most difficult times. Together we’ll win!,Thank you  &amp; 🇨🇦 people for CAD500 million in defense aid to 🇺🇦. This again proves that 🇺🇦 &amp; 🇨🇦 are true allies who share common values &amp; have the same goals. We’ll always remember the help provided by the fraternal 🇨🇦 in the most difficult times. Together we’ll win!
49,"Had a phone call with Chancellor @OlafScholz. Informed about the course of hostilities, new RF's strikes on civilians. Thanked for 🇩🇪 great contribution to the defense of our sky &amp; borders. Supported the continuation of the grain initiative and agreed positions on the eve of #G20","Had a phone call with Chancellor . Informed about the course of hostilities, new RF's strikes on civilians. Thanked for 🇩🇪 great contribution to the defense of our sky &amp; borders. Supported the continuation of the grain initiative and agreed positions on the eve of G20"
50,"For almost 250 years the men and women of the United States armed forces have prevailed against tyranny. ​Your example inspires Ukrainians today to fight back against Russian aggression.

On behalf of all Ukrainians, Happy Veterans Day and thank you for your service. https://t.co/gnEPi6ZeKf","For almost 250 years the men and women of the United States armed forces have prevailed against tyranny. ​Your example inspires Ukrainians today to fight back against Russian aggression.  On behalf of all Ukrainians, Happy Veterans Day and thank you for your service. "
51,Thank you @POTUS &amp; friendly 🇺🇸 people for showing solidarity once again - an aid package including Avenger air defense systems &amp; missiles for Hawk air defense systems. Together we're building an air shield to protect 🇺🇦 civilians. We're bringing victory over the aggressor closer!,Thank you  &amp; friendly 🇺🇸 people for showing solidarity once again - an aid package including Avenger air defense systems &amp; missiles for Hawk air defense systems. Together we're building an air shield to protect 🇺🇦 civilians. We're bringing victory over the aggressor closer!
52,"I had a phone call with @JustinTrudeau. Thanked for the large-scale defense support for 🇺🇦. We discussed the possibilities of its expansion. We also agreed on the importance of continuing the ""grain deal"". I count on 🇨🇦’s support for Ukrainian initiatives in #G20 and #UN.","I had a phone call with . Thanked for the large-scale defense support for 🇺🇦. We discussed the possibilities of its expansion. We also agreed on the importance of continuing the ""grain deal"". I count on 🇨🇦’s support for Ukrainian initiatives in G20 and UN."
53,"I had a phone call with 🇬🇧 PM @RishiSunak. We discussed the multifaceted defense support for Ukraine and assistance in enduring the winter period. We also spoke in favor of the continuation of the ""grain deal"" and agreed positions on the eve of important international events.","I had a phone call with 🇬🇧 PM . We discussed the multifaceted defense support for Ukraine and assistance in enduring the winter period. We also spoke in favor of the continuation of the ""grain deal"" and agreed positions on the eve of important international events."
54,"Discussed with PM of the Netherlands @MinPres further cooperation as for defense of our territory, especially in the sky, and rebuilding Ukraine's energy infrastructure. Supported the continuation of the grain deal. I also count on the support of our initiatives at the UN by 🇳🇱.","Discussed with PM of the Netherlands  further cooperation as for defense of our territory, especially in the sky, and rebuilding Ukraine's energy infrastructure. Supported the continuation of the grain deal. I also count on the support of our initiatives at the UN by 🇳🇱."
55,"Grateful to the European Commission &amp; President @vonderleyen for announcing €18 billion financial aid package for 2023. This shows true solidarity of the EU. Together we resist Russia's aggression, together we‘ll rebuild Ukraine, together we’ll be in the EU. #EmbraceUkraine","Grateful to the European Commission &amp; President  for announcing €18 billion financial aid package for 2023. This shows true solidarity of the EU. Together we resist Russia's aggression, together we‘ll rebuild Ukraine, together we’ll be in the EU. EmbraceUkraine"
56,I had a phone call with @netanyahu. I congratulated him on winning the elections and wished him a successful formation of the new government. I expressed hope that the level of 🇺🇦-🇮🇱 interaction will correspond to the security challenges facing our countries.,I had a phone call with . I congratulated him on winning the elections and wished him a successful formation of the new government. I expressed hope that the level of 🇺🇦-🇮🇱 interaction will correspond to the security challenges facing our countries.
57,"Discussed macro-fin aid to 🇺🇦 for the current year &amp; 2023 with President of the European Commission @vonderleyen. Noted the importance of continuing the grain initiative for world food security. Discussed increasing sanctions &amp; opposing actions of Iran, which supports aggression","Discussed macro-fin aid to 🇺🇦 for the current year &amp; 2023 with President of the European Commission . Noted the importance of continuing the grain initiative for world food security. Discussed increasing sanctions &amp; opposing actions of Iran, which supports aggression"
58,"In 6 months, @u24_gov_ua united hundreds of thousands of people from all over the world in helping 🇺🇦. We are grateful to everyone for supporting our values, for believing in 🇺🇦 and our victory. We feel that the world is supporting 🇺🇦, and this gives us strength in our struggle. https://t.co/gNj0ZeCjmz","In 6 months,  united hundreds of thousands of people from all over the world in helping 🇺🇦. We are grateful to everyone for supporting our values, for believing in 🇺🇦 and our victory. We feel that the world is supporting 🇺🇦, and this gives us strength in our struggle. "
59,"We are sincerely grateful to 🇳🇱, 🇺🇸 and 🇨🇿 for providing significant and much-needed support – 90 T-72 tanks. The Armed Forces of Ukraine are pushing forward and need this equipment. We value the help of partners. Together we stand for protection of freedom &amp; democracy!","We are sincerely grateful to 🇳🇱, 🇺🇸 and 🇨🇿 for providing significant and much-needed support – 90 T-72 tanks. The Armed Forces of Ukraine are pushing forward and need this equipment. We value the help of partners. Together we stand for protection of freedom &amp; democracy!"
60,I am thankful to @POTUS and the people of 🇺🇸 for another $400 million military assistance package. For armored vehicles that will help us liberate Ukrainian land. We appreciate this continued support!,I am thankful to  and the people of 🇺🇸 for another $400 million military assistance package. For armored vehicles that will help us liberate Ukrainian land. We appreciate this continued support!
61,Congratulations to @netanyahu on winning the elections. It’s always important to see real democracy in action. 🇺🇦 &amp; 🇮🇱 share common values &amp; challenges that now require effective cooperation. We hope to open a new page in cooperation with the new 🇮🇱 Government for 🇺🇦&amp;🇮🇱  benefit!,Congratulations to  on winning the elections. It’s always important to see real democracy in action. 🇺🇦 &amp; 🇮🇱 share common values &amp; challenges that now require effective cooperation. We hope to open a new page in cooperation with the new 🇮🇱 Government for 🇺🇦&amp;🇮🇱  benefit!
62,"Together with President of Moldova @sandumaiamd we discussed current energy and security challenges for our countries. I told about the Russian aerial terror, which has also affected Moldova recently. We exchanged views of the fall of the missile on its territory.","Together with President of Moldova  we discussed current energy and security challenges for our countries. I told about the Russian aerial terror, which has also affected Moldova recently. We exchanged views of the fall of the missile on its territory."
63,"Had a meeting with true friends of 🇺🇦 – 🇺🇸 Senators @ChrisCoons and @senrobportman. Thanked for the leadership support. We discussed the situation at the front, the missile terror by the RF and the priority areas of aid for 🇺🇦 - defense and economic. We believe in joint victory!","Had a meeting with true friends of 🇺🇦 – 🇺🇸 Senators  and . Thanked for the leadership support. We discussed the situation at the front, the missile terror by the RF and the priority areas of aid for 🇺🇦 - defense and economic. We believe in joint victory!"
64,Had a call with President of Indonesia @jokowi. We discussed the importance of continuing the Grain Initiative. 🇺🇦 is ready to continue to be the guarantor of global food security. Attention was also paid to preparations for the #G20 Summit.,Had a call with President of Indonesia . We discussed the importance of continuing the Grain Initiative. 🇺🇦 is ready to continue to be the guarantor of global food security. Attention was also paid to preparations for the G20 Summit.
65,"I thanked 🇹🇷 President @RTErdogan for his active participation in preserving the grain deal, for his steadfast support of sovereignty and territorial integrity of Ukraine. We discussed further steps to return 🇺🇦 POWs and political prisoners. I also count on support of 🇹🇷.","I thanked 🇹🇷 President  for his active participation in preserving the grain deal, for his steadfast support of sovereignty and territorial integrity of Ukraine. We discussed further steps to return 🇺🇦 POWs and political prisoners. I also count on support of 🇹🇷."
66,"Leading historian, friend of 🇺🇦 @TimothyDSnyder became the ambassador of the fundraising platform @U24_gov_ua &amp; started raising for The Shahed Catcher.
Thank you for the fact that now more people will know not only about the reasons of our struggle, but also how they can help us. https://t.co/GNFuOVJlFa","Leading historian, friend of 🇺🇦  became the ambassador of the fundraising platform  &amp; started raising for The Shahed Catcher. Thank you for the fact that now more people will know not only about the reasons of our struggle, but also how they can help us. "
67,"Extremely important and productive conversation with 🇫🇷 President @EmmanuelMacron. Specific decisions on strengthening Ukraine's defense capabilities. Specific initiatives to restore the destroyed energy infrastructure. Thank you, my friend, for your unwavering support.","Extremely important and productive conversation with 🇫🇷 President . Specific decisions on strengthening Ukraine's defense capabilities. Specific initiatives to restore the destroyed energy infrastructure. Thank you, my friend, for your unwavering support."
68,"Had a phone call with Prime Minister of Cambodia Samdech Hun Sen. Thanked 🇰🇭, which is chairing the #ASEAN for supporting 🇺🇦 sovereignty and territorial integrity, for support in the #UN. Assured that we will remain the guarantor of food security for ASEAN countries.","Had a phone call with Prime Minister of Cambodia Samdech Hun Sen. Thanked 🇰🇭, which is chairing the ASEAN for supporting 🇺🇦 sovereignty and territorial integrity, for support in the UN. Assured that we will remain the guarantor of food security for ASEAN countries."
